timestamp	protocol	topology	n_agents	task_type	n_trials	fc1_rate	fc2_rate	fc3_rate	total_failures	avg_time_s	wall_time_s	status
2026-05-05T01:47:04	native	centralized	3	code	5	0.200	0.400	0.000	3	81.3	417.8	ok
2026-05-05T01:51:48	native	chain	3	code	5	0.000	0.800	0.400	7	55.0	283.9	ok
2026-05-05T01:58:29	native	fully_connected	3	code	5	0.000	0.200	0.000	2	78.6	401.6	ok
2026-05-05T02:04:43	mcp	centralized	3	code	5	0.400	0.400	0.200	5	72.1	373.7	ok
2026-05-05T02:08:44	mcp	chain	3	code	5	0.200	0.800	0.400	9	46.6	241.5	ok
2026-05-05T02:13:25	mcp	fully_connected	3	code	5	0.000	0.600	0.000	6	55.2	280.2	ok
2026-05-05T02:22:59	a2a	centralized	3	code	5	0.000	0.000	0.400	2	68.4	352.3	ok
2026-05-05T02:28:17	a2a	chain	3	code	5	0.000	0.400	0.200	3	61.1	317.1	ok
2026-05-05T02:34:59	a2a	fully_connected	3	code	5	0.200	0.200	0.000	2	78.3	402.7	ok
2026-05-05T02:40:00	a2a	centralized	2	code	5	0.000	0.000	0.200	1	48.2	250.7	ok
2026-05-05T02:48:34	a2a	centralized	4	code	5	0.000	0.200	0.000	1	100.4	513.3	ok
2026-05-05T02:55:17	a2a	centralized	5	code	5	0.000	0.400	0.000	4	79.4	403.6	ok
